Nomen;das Haus;Adlar;ev
Nomen;die Wohnung;Adlar;daire
Nomen;der Balkon;Adlar;balkon
Nomen;die Tür;Adlar;kapı
Nomen;das Fenster;Adlar;pencere
Nomen;die Klingel;Adlar;zil
Nomen;das Auto;Adlar;araba
Nomen;das Handy;Adlar;cep telefonu
Nomen;die Lampe;Adlar;lamba
Nomen;der Mann;Adlar;erkek
Nomen;die Frau;Adlar;kadın
Nomen;das Kind;Adlar;çocuk
Nomen;die Nachbarin;Adlar;komşu (kadın)
Nomen;der Sohn;Adlar;oğul
Nomen;der Sportlehrer;Adlar;spor öğretmeni
Nomen;der Vogel;Adlar;kuş
Nomen;der Hund;Adlar;köpek
Nomen;das Hotel;Adlar;otel
Nomen;die Bank;Adlar;banka
Nomen;das Rathaus;Adlar;belediye binası
Nomen;das Amt;Adlar;resmi daire, görev
Nomen;der Name;Adlar;ad (soyad için de kullanılır)
Nomen;der Vorname;Adlar;ön ad
Nomen;der Familienname;Adlar;soyadı
Nomen;die Adresse;Adlar;adres
Nomen;der Ort;Adlar;yer, mahal
Nomen;der Wohnort;Adlar;ikamet yeri
Nomen;die Straße;Adlar;sokak, cadde
Nomen;der Platz;Adlar;meydan
Nomen;die Allee;Adlar;bulvar, iki yanı ağaçlı yol
Nomen;die Zahl;Adlar;sayı
Nomen;die Postleitzahl;Adlar;posta kodu
Nomen;die Nummer;Adlar;numara
Nomen;die Hausnummer;Adlar;kapı numarası
Nomen;die Telefonnummer;Adlar;telefon numarası
Nomen;die E-Mail-Adresse;Adlar;e-posta adresi
Nomen;das Land;Adlar;ülke
Verben;sein;Eylemler;olmak, bulunmak
Verben;kommen;Eylemler;gelmek
Verben;heißen;Eylemler;adı … olmak
Verben;wohnen;Eylemler;oturmak, ikamet etmek
Verben;buchstabieren;Eylemler;hecelemek (bir sözcüğün haflerini tek tek söylemek)
Adjektive;neu;Önadlar;yeni
Adjektive;nett;Önadlar;hoş
Adjektive;unsympathisch;Önadlar;antipatik
Adjektive;interessant;Önadlar;ilginç
Adjektive;aggressiv;Önadlar;saldırgan
Adjektive;fröhlich -   traurig;Önadlar;neşeli -   üzgün
Adjektive;super;Önadlar;süper
Adjektive;nah;Önadlar;yakın
Fragewörter;Wo?;Soru Sözcükleri;Nerede?
Fragewörter;Woher?;Soru Sözcükleri;Nereden?
Fragewörter;Wer?;Soru Sözcükleri;Kim?
Fragewörter;Wie?;Soru Sözcükleri;Nasıl?
Wendungen;Hallo!;Deyişler;Merhaba!
Wendungen;Willkommen!;Deyişler;Hoş geldiniz!
Wendungen;Guten Tag!;Deyişler;İyi günler!
Wendungen;Grüß Gott! (süddt., österr.);Deyişler;Merhaba (Güney Almanya ve Avusturya'da kullanılır)
Wendungen;Tschüss!;Deyişler;Hoşça kal (samimi)
Wendungen;Auf Wiedersehen!;Deyişler;Hoşça kalın (genel/resmi)
Wendungen;Entschuldigung!;Deyişler;Affedersiniz!/Özür dilerim!
Wendungen;Wie bitte?;Deyişler;Efendim?
Wendungen;Freut mich.;Deyişler;Memnun oldum.
Wendungen;Danke.;Deyişler;Teşekkürler.
Kleine Wörter;ja -  nein;Kısa Sözcükler;evet -  hayır
Kleine Wörter;und;Kısa Sözcükler;ve
Kleine Wörter;da;Kısa Sözcükler;orada, şurada, işte!
Kleine Wörter;hier;Kısa Sözcükler;burada
Kleine Wörter;bitte;Kısa Sözcükler;buyurun, lütfen
Kleine Wörter;sehr;Kısa Sözcükler;çok
Nomen;der Montag;Adlar;pazartesi
Nomen;der Dienstag;Adlar;salı
Nomen;der Mittwoch;Adlar;çarşamba
Nomen;der Donnerstag;Adlar;perşembe
Nomen;der Freitag;Adlar;cuma
Nomen;der Samstag;Adlar;cumartesi
Nomen;der Sonntag;Adlar;pazar
Nomen;der Morgen;Adlar;sabah
Nomen;der Vormittag;Adlar;öğleden önce
Nomen;der Mittag;Adlar;öğle
Nomen;der Nachmittag;Adlar;öğleden sonra
Nomen;der Abend;Adlar;akşam
Nomen;die Nacht;Adlar;gece
Nomen;das Wochenende;Adlar;hafta sonu
der Beruf;der Arzt;meslek;doktor
der Beruf;die Ärztin;meslek;doktor (kadın)
der Beruf;der Psychologe;meslek;psikolog
der Beruf;die Psychologin;meslek;psikolog (kadın)
der Beruf;der Taxifahrer;meslek;taksi şoförü
der Beruf;die Taxifahrerin;meslek;taksi şoförü (kadın)
der Beruf;der Krankenpfleger;meslek;hasta bakıcı
der Beruf;die Krankenschwester;meslek;hemşire
der Beruf;der DJ !*di:dZeI?;meslek;diskjokey
der Beruf;die Hausfrau;meslek;ev kadını
der Beruf;der Hausmann;meslek;ev erkeği
der Beruf;der Bäcker;meslek;fırıncı
der Beruf;die Bäckerin;meslek;fırıncı (kadın)
der Beruf;der Ingenieur;meslek;mühendis
der Beruf;die Ingenieurin;meslek;mühendis (kadın)
der Beruf;der Lehrer;meslek;öğretmen
der Beruf;die Lehrerin;meslek;öğretmen (kadın)
der Beruf;der Kellner;meslek;garson
der Beruf;die Kellnerin;meslek;garson (kadın)
der Beruf;der Polizist;meslek;polis
der Beruf;die Polizistin;meslek;polis (kadın)
der Beruf;der Koch;meslek;aşçı
der Beruf;die Köchin;meslek;aşçı (kadın)
der Beruf;die Sekretärin;meslek;kadın sekreter
der Beruf;die Hebamme;meslek;ebe
der Beruf;der Bauarbeiter;meslek;inşaat işçisi
der Beruf;die Bauarbeiterin;meslek;inşaat işçisi (kadın)
der Beruf;der Raumpfleger;meslek;temizlik işçisi
der Beruf;die Raumpflegerin;meslek;temizlik işçisi (kadın)
der Beruf;der Student;meslek;üniversite öğrencisi
der Beruf;die Studentin;meslek;üniversite öğrencisi (kadın)
der Beruf;der Kollege;meslek;meslektaş, iş arkadaşı
der Beruf;die Kollegin;meslek;meslektaş, iş arkadaşı (kadın)
der Beruf;(der) Herr;meslek;Bay
der Beruf;(die) Frau;meslek;Bayan
Nomen;der Eingang;Adlar;giriş
Nomen;das WC;Adlar;tuvalet
Nomen;die Information;Adlar;danışma
Nomen;das Café;Adlar;kafeterya, kahvehane
Nomen;der Aufzug;Adlar;asansör
Nomen;die Station;Adlar;bölüm (hastanede)
Nomen;das Krankenhaus;Adlar;hastane
Nomen;das Restaurant;Adlar;restoran
Nomen;die Schule;Adlar;okul
Nomen;der Supermarkt;Adlar;süpermarket
Nomen;das Büro;Adlar;ofis
Nomen;die Disco;Adlar;diskotek
Nomen;die Arbeit;Adlar;iş
Verben;arbeiten;Eylemler;çalışmak
Verben;haben, hat;Eylemler;sahip olmak
Verben;Dienst haben;Eylemler;görevde olmak, nöbetçi olmak
Verben;frei haben;Eylemler;izinli olmak
Verben;Zeit haben;Eylemler;zamanı olmak
Verben;Stress haben;Eylemler;stres altında bulunmak
Verben;schlafen, schläft;Eylemler;uyumak
Verben;frühstücken;Eylemler;kahvaltı etmek
Verben;spielen;Eylemler;oynamak
Verben;Saxofon spielen;Eylemler;saksofon çalmak
Verben;kochen;Eylemler;pişirmek
Verben;putzen;Eylemler;temizlemek
Verben;telefonieren;Eylemler;telefon etmek
Verben;einkaufen gehen, geht einkaufen;Eylemler;alışverişe gitmek
Verben;fernsehen, sieht fern;Eylemler;televizyon izlemek
Verben;hören;Eylemler;duymak
Verben;Musik hören;Eylemler;müzik dinlemek
Verben;machen;Eylemler;yapmak
Verben;Yoga machen;Eylemler;yoga yapmak
Verben;studieren;Eylemler;üniversite eğitimi almak
Adjektive;gut - schelcht;Önadlar;iyi -kötü
Adjektive;viel - wenig;Önadlar;çok - az
Adjektive;freundlich -unfreundlich;Önadlar;"sevimli/cana yakın/güler yüzlü -sevimsiz/soğuk/
nezaketsiz"
Adjektive;interessant - alngweilig;Önadlar;ilginç -sıkıcı
Adjektive;ruhig - sterssig;Önadlar;sakin -stresli
Adjektive;fit - müde;Önadlar;zinde -yorgun, halsiz
Fragewörter;Was?;Soru Sözcükleri;Ne?
Fragewörter;Wann?;Soru Sözcükleri;Ne zaman?
Fragewörter;Warum?;Soru Sözcükleri;Neden? Niçin?
